,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
53,2,15883.0,12498.0,4810.0,2.0,0.5182,1119.0,22.0,39383.0,22170.0,22170.0,0.0,0.4211,22053.0,0.3077,0.4766,54155.29,14.460000038146902,0.41520912549999994,0.19543726239999998,0.152851711,0.09885931560000001,0.1376425856,1.0,0.055513308,5,22053,0.0999,0.135,0.091,39400,43700,44400
54,2,14842.0,6508.0,6136.0,,,,,,,,,,12917.0,,,59896.36,9.01000022888183,0.49295774649999996,0.2394366197,,,,0.2,0.8028169014000001,5,12917,0.8058,0.061,0.038,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
56,1,7253.0,11828.0,9128.0,2.0,0.8115,,,19942.0,8580.0,24762.0,0.3576,0.3274,11000.0,0.0937,0.2684,72116.59,6.69999980926513,0.4450184502,0.19089790899999998,0.1576875769,0.0998769988,0.1065190652,0.484,0.4964329643,8,11000,0.4178,0.105,0.08199999999999999,46000,51800,58200
57,2,8091.0,7534.0,3500.0,1.0,,,,24759.0,9600.0,9600.0,1.0,0.2,,0.0769,0.36,,,,,,,,,,8,PrivacySuppressed,0.4286,0.1,0.0,,,
58,1,8210.0,17922.0,9584.0,2.0,0.7611,1128.0,22.0,18510.0,6657.0,20218.0,0.3813,0.3119,11000.0,0.2041,0.3082,65084.81,8.44999980926513,0.4166198765,0.19090398649999998,0.1633913532,0.10892756880000001,0.120157215,0.6066,0.5306007860999999,8,11000,0.452,0.107,0.08900000000000001,41100,46600,50300
60,2,13127.0,13107.0,5467.0,2.0,0.8425,,,34990.0,20760.0,20760.0,0.6,0.5,15875.0,0.4318,0.5455,70542.98,7.050000190734861,0.4178082192,0.1575342466,0.1575342466,0.1369863014,0.1301369863,0.5692,0.4589041096,8,15875,0.4358,0.05,0.047,39200,46400,50700
72,1,20364.0,14979.0,11451.0,2.0,0.8478,1240.0,26.0,25621.0,10822.0,28336.0,0.7469,0.2983,14271.0,0.4847,0.66,69074.33,7.71000003814697,0.42419833079999997,0.1718097957,0.1433395563,0.1075938941,0.153058423,0.7766,0.4304304854,6,14271,0.1063,0.062,0.071,53100,55400,58500
74,1,15599.0,13573.0,11147.0,2.0,0.8442,1198.0,25.0,26712.0,12467.0,36366.0,0.6898,0.2841,14000.0,0.45799999999999996,0.6399,64708.31,9.289999961853018,0.3634462932,0.1628190609,0.1423468943,0.1145570172,0.2168307344,0.7625,0.1624705985,6,14000,0.0913,0.06,0.054000000000000006,51700,55100,60700
75,3,20889.0,5088.0,5226.0,1.0,,,,35552.0,23069.0,23069.0,0.0,0.6,32875.0,0.6667,0.7333,56683.5,9.73999977111816,0.5148514851,0.2079207921,0.1287128713,,,1.0,0.3168316832,6,32875,0.48,0.196,0.23800000000000002,30500,34500,35300
84,2,26166.0,12962.0,9354.0,2.0,0.6723,,,51036.0,35654.0,35654.0,0.6935,0.2109,13750.0,0.36700000000000005,0.626,66671.2,7.300000190734861,0.3650488547,0.2104757328,0.167387474,0.100272305,0.1568156335,0.7083,0.5582252122,6,13750,0.0925,0.042,0.037000000000000005,64400,70700,74200
