,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
1142,2,12634.0,6579.0,6453.0,2.0,0.9268,1113.0,22.0,43465.0,34184.0,34184.0,0.7388,0.2917,20500.0,0.5827,0.6785,66273.98,4.670000076293941,0.1595744681,0.0866261398,0.1550151976,0.21428571429999999,0.38449848020000005,0.7190000000000001,0.0349544073,4,20500,0.0222,0.037000000000000005,0.047,44500,49500,52100
1143,2,16779.0,15180.0,7537.0,2.0,0.6257,1236.0,26.0,54045.0,42290.0,42290.0,0.8746,0.2209,25250.0,0.7144,0.797,65739.49,4.75,0.11529126210000001,0.0861650485,0.17597087379999998,0.2148058252,0.4077669903,0.7327,0.0194174757,4,25250,0.0102,0.024,0.03,48200,49400,55400
1144,2,9413.0,6356.0,2983.0,2.0,1.0,,,39730.0,16530.0,16530.0,0.875,0.7647,18750.0,0.4727,0.6727,60879.44,7.38000011444091,0.7126436782,,,,,0.8559,0.6206896552000001,4,18750,0.5494,0.059000000000000004,0.028999999999999998,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
1146,2,18695.0,9361.0,5693.0,2.0,0.9505,,,26831.0,17952.0,17952.0,0.25,0.5,14000.0,0.2,0.3816,62864.55,4.9499998092651305,0.35701906409999995,0.17504332760000002,0.164644714,0.1351819757,0.1681109185,0.4667,0.5389948007,4,14000,0.4472,0.063,0.054000000000000006,46400,46800,51000
1147,2,10759.0,6206.0,6785.0,2.0,0.5758,1135.0,23.0,43814.0,31530.0,31530.0,0.5714,0.33899999999999997,17125.0,0.4723,0.5354,54990.75,6.53000020980835,0.182038835,0.1395631068,0.1868932039,0.2512135922,0.2402912621,1.0,0.2038834951,4,17125,0.0726,0.037000000000000005,0.024,46600,46500,50000
1148,2,13706.0,6609.0,6786.0,2.0,0.6281,1120.0,22.0,44311.0,31998.0,31998.0,0.7255,0.4076,16793.0,0.4902,0.6461,61693.27,4.75,0.3011494253,0.1620689655,0.1586206897,0.20689655170000001,0.1712643678,1.0,0.3873563218,4,16793,0.32299999999999995,0.035,0.038,48800,48900,47900
1149,3,13243.0,2478.0,6459.0,1.0,,,,23215.0,12160.0,12160.0,0.0417,0.7081,8344.0,0.0114,0.0769,62011.29,8.590000152587889,0.7280727754,0.1514557352,0.07656004200000001,0.029479492000000003,0.014431955500000001,0.0795,0.9415426004999999,8,8344,0.8758,0.13699999999999998,0.10099999999999999,31200,47400,57100
1151,1,6485.0,9558.0,8277.0,2.0,0.8074,1169.0,24.0,21177.0,8938.0,19480.0,0.6822,0.24100000000000002,15541.0,0.4003,0.6656,56117.97,5.80999994277954,0.2057050093,0.1233766234,0.1836734694,0.2288961039,0.2583487941,0.7469,0.10389610390000001,4,15541,0.0822,0.028999999999999998,0.045,47100,48600,51400
1152,2,11692.0,8775.0,6734.0,2.0,0.7143,1183.0,24.0,43520.0,31100.0,31100.0,0.7087,0.2456,17375.0,0.5863,0.6821,58600.59,5.320000171661371,0.13530655390000002,0.1057082452,0.19450317120000002,0.2854122622,0.2790697674,1.0,0.0803382664,4,17375,0.0288,0.027000000000000003,0.016,36500,38200,43300
1157,2,26147.0,11144.0,6258.0,1.0,,,,31935.0,9225.0,9225.0,1.0,1.0,9701.0,0.0,0.8333,59646.88,7.48000001907348,0.5652173913,,0.1739130435,,,0.7941,0.7101449275,4,9701,0.3171,0.012,0.023,54700,PrivacySuppressed,PrivacySuppressed
1159,2,18419.0,9981.0,7405.0,2.0,0.6269,1132.0,23.0,44319.0,30894.0,30894.0,0.7308,0.2875,20500.0,0.5329,0.6521,63314.56,6.150000095367429,0.2365988909,0.12199630310000001,0.1534195933,0.18669131239999998,0.3012939002,1.0,0.15434380779999998,4,20500,0.1204,0.059000000000000004,0.055,44600,49500,53600
1163,2,14276.0,9806.0,6618.0,2.0,0.8423,1136.0,23.0,50095.0,39144.0,39144.0,0.7846,0.2703,21500.0,0.6319,0.6901,60274.33,5.26000022888183,0.16933333329999997,0.1426666667,0.184,0.2253333333,0.2786666667,0.4537,0.1453333333,4,21500,0.1355,0.045,0.021,43100,52600,52800
1169,2,9677.0,5190.0,5915.0,2.0,0.5047,1063.0,21.0,44206.0,30450.0,30450.0,0.4655,0.4028,17504.0,0.3265,0.4233,57565.93,7.44999980926513,0.4664127424,0.18732686980000002,0.1613573407,0.10734072019999999,0.0775623269,1.0,0.7396121884,4,17504,0.6495,0.081,0.063,35900,49200,54100
1170,3,7199.0,2741.0,5181.0,2.0,0.7544,1028.0,20.0,33399.0,22076.0,22076.0,0.5,0.4762,12000.0,0.2453,0.2884,57010.8,6.26000022888183,0.36316181950000004,0.1991051454,0.21700223710000002,0.1409395973,0.0797912006,0.2614,0.6659209545,4,12000,0.6509999999999999,0.077,0.08800000000000001,35000,38700,50300
1171,2,15457.0,9474.0,6693.0,2.0,0.7571,1143.0,23.0,51820.0,41280.0,41280.0,0.7231,0.3282,21500.0,0.6109,0.6643,58222.9,5.420000076293941,0.1426380368,0.10736196320000001,0.1564417178,0.2392638037,0.3542944785,1.0,0.021472392599999997,4,21500,0.0085,0.055999999999999994,0.024,45100,49500,52800
1175,2,9787.0,5091.0,5571.0,2.0,0.5524,,,36487.0,25600.0,25600.0,0.5538,0.6079,14000.0,0.2046,0.3504,58579.66,6.789999961853019,0.3990929705,0.1825396825,0.1734693878,0.15419501130000002,0.09070294779999999,0.9767,0.24263038550000002,4,14000,0.2145,0.17300000000000001,0.10099999999999999,36200,44900,57700
1177,2,11993.0,6335.0,6309.0,2.0,0.8765,1126.0,23.0,44244.0,29830.0,29830.0,0.5844,0.3438,19500.0,0.414,0.5785,67758.92,5.420000076293941,0.2625628141,0.1721105528,0.1771356784,0.1771356784,0.21105527640000002,0.1716,0.3957286432,4,19500,0.2586,0.059000000000000004,0.036000000000000004,45800,57200,67600
1179,2,12402.0,7518.0,7009.0,2.0,0.9284,1194.0,25.0,43240.0,29530.0,29530.0,0.3922,0.2169,19000.0,0.4411,0.6121,64485.18,6.650000095367429,0.1330798479,0.0937896071,0.1508238276,0.174904943,0.44740177439999995,0.601,0.030418251,4,19000,0.0158,0.031,0.042,37200,47600,46500
1180,2,1771.0,5163.0,4285.0,2.0,0.6776,1035.0,21.0,42884.0,27850.0,27850.0,0.1967,0.5231,9500.0,0.2704,0.3879,57710.76,7.599999904632571,0.36743215030000004,0.1419624217,0.133611691,0.1565762004,0.2004175365,0.5455,0.0960334029,4,9500,0.0232,0.131,0.11,41100,43200,49300
1181,2,12678.0,7696.0,5551.0,2.0,0.441,1077.0,21.0,41204.0,28540.0,28540.0,0.6667,0.4113,12500.0,0.3524,0.4669,58345.11,6.150000095367429,0.37650602409999995,0.1415662651,0.17771084339999998,0.1897590361,0.1144578313,0.5811,0.156626506,4,12500,0.1213,0.062,0.036000000000000004,49800,41800,46000
1183,2,11991.0,9905.0,3741.0,1.0,,,,26633.0,20350.0,20350.0,0.5135,0.5823,14746.0,0.1455,0.2661,55393.39,8.050000190734862,0.4894259819,0.1797583082,0.164652568,0.1012084592,0.0649546828,0.2949,0.6888217523000001,4,14746,0.4694,0.273,0.087,PrivacySuppressed,33900,PrivacySuppressed
1190,1,7027.0,7584.0,6835.0,2.0,0.8532,1118.0,22.0,18358.0,6758.0,20675.0,0.4959,0.4089,14000.0,0.2576,0.449,56675.47,6.88000011444091,0.3055040198,0.1471861472,0.1972789116,0.1811997526,0.1688311688,0.8847,0.1818181818,4,14000,0.1184,0.057,0.063,37700,40100,42700
1192,1,6221.0,5055.0,6986.0,2.0,0.9229,,,17044.0,5130.0,15210.0,0.5887,0.4053,13519.0,0.2103,0.4368,50801.46,7.44000005722046,0.35514671630000005,0.18816953890000002,0.2021425245,0.1567303214,0.09781089890000001,0.5431,0.5055891942,4,13519,0.3055,0.065,0.051,38200,43600,45800
1193,2,17914.0,6181.0,4690.0,2.0,0.4578,,,31220.0,19000.0,19000.0,0.1538,0.6897,15625.0,0.2064,0.4744,57474.39,6.9899997711181605,0.4236111111,0.1875,0.1597222222,0.1319444444,0.09722222220000001,0.5676,0.2916666667,4,15625,0.2664,0.10800000000000001,0.055,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
1194,2,13100.0,5908.0,6792.0,2.0,0.4735,1078.0,21.0,37845.0,28415.0,28415.0,0.4583,0.431,18750.0,0.2494,0.36,60343.56,7.039999961853019,0.28237129489999996,0.21996879879999998,0.1669266771,0.17628705149999999,0.1544461778,1.0,0.3510140406,4,18750,0.2539,0.055999999999999994,0.061,33200,48500,57400
1207,1,12624.0,19072.0,10156.0,2.0,0.9171,1250.0,26.0,24996.0,11148.0,27358.0,0.7114,0.2304,15000.0,0.4462,0.6395,70891.42,5.23999977111816,0.2626262626,0.1253443526,0.15105601470000002,0.1602387511,0.30073461890000003,0.8369,0.1495255586,4,15000,0.0885,0.046,0.051,62800,57800,58700
1208,2,8994.0,5069.0,5805.0,2.0,0.6182,1143.0,23.0,36979.0,30750.0,30750.0,0.5882,0.4292,15250.0,0.4144,0.532,62008.99,6.94999980926513,0.3747747748,0.1495495495,0.1855855856,0.1333333333,0.1567567568,0.9785,0.3945945946,4,15250,0.1181,0.064,0.035,42400,50100,51000
1210,1,12018.0,12033.0,9106.0,2.0,0.934,,,23724.0,10383.0,25887.0,0.7190000000000001,0.2107,17500.0,0.3334,0.6334,59909.03,6.26999998092651,0.22554033989999997,0.1371060881,0.1743936644,0.1885827421,0.2743771655,0.888,0.1399109058,4,17500,0.0901,0.047,0.064,50300,49000,54700
1211,2,12671.0,5893.0,5553.0,2.0,0.4681,1115.0,23.0,42545.0,29500.0,29500.0,0.3571,0.4615,12878.0,0.2796,0.3454,54592.99,7.150000095367429,0.315581854,0.1617357002,0.17159763309999998,0.17159763309999998,0.17948717949999998,1.0,0.1104536489,4,12878,0.062,0.067,0.109,39600,41500,48400
1215,2,11837.0,4552.0,5113.0,2.0,0.5812,1115.0,22.0,29131.0,16260.0,16260.0,0.9063,0.5529,12000.0,0.2808,0.5608,58385.25,5.920000076293941,0.3161290323,0.1612903226,0.1741935484,0.1741935484,0.1741935484,0.4286,0.1032258065,4,12000,0.1241,0.153,0.006999999999999999,PrivacySuppressed,37800,PrivacySuppressed
1216,2,10930.0,8311.0,6153.0,2.0,0.7709,1084.0,21.0,41047.0,28951.0,28951.0,0.2444,0.3861,14000.0,0.2899,0.3616,59250.54,6.7399997711181605,0.2909090909,0.1295454545,0.19772727269999998,0.17954545449999998,0.2022727273,0.6818,0.08636363640000001,4,14000,0.0455,0.132,0.065,34600,41700,49400
1217,2,12366.0,6214.0,6540.0,2.0,0.5853,1104.0,22.0,42197.0,29736.0,29736.0,0.4844,0.5291,13396.0,0.3504,0.4636,69737.68,5.51999998092651,0.3097762073,0.19787985870000002,0.2190812721,0.1213191991,0.1519434629,0.9762,0.4593639576,4,13396,0.2661,0.07,0.064,37400,48300,56800
1221,2,13778.0,3581.0,6034.0,2.0,0.7815,1024.0,19.0,42254.0,30050.0,30050.0,0.675,0.505,12500.0,0.3323,0.452,65346.8,7.17999982833862,0.3986928105,0.1869281046,0.1810457516,0.12222222220000001,0.11111111109999999,0.9767,0.6496732025999999,4,12500,0.0373,0.068,0.06,40900,46800,57800
1222,2,990.0,257.0,3617.0,,,,,,,,,,12500.0,,,65346.8,7.17999982833862,0.3986928105,0.1869281046,0.1810457516,0.12222222220000001,0.11111111109999999,1.0,0.6496732025999999,4,12500,0.8319,0.068,0.06,40900,46800,57800
1223,1,5364.0,6632.0,7365.0,2.0,0.8958,1150.0,23.0,18102.0,7298.0,18642.0,0.6724,0.3915,14000.0,0.2518,0.5004,50242.27,8.289999961853018,0.3151030711,0.15986537650000002,0.1745898191,0.17206562890000002,0.1783761043,0.7306,0.1830037863,4,14000,0.1118,0.09699999999999999,0.078,40700,44300,48400
1225,2,14174.0,8676.0,6256.0,2.0,0.6135,1083.0,21.0,39819.0,28810.0,28810.0,0.5667,0.3958,15500.0,0.3548,0.4977,62613.14,7.539999961853019,0.2831683168,0.1564356436,0.16435643560000002,0.2,0.19603960399999998,0.4718,0.27326732670000004,4,15500,0.1818,0.064,0.042,PrivacySuppressed,PrivacySuppressed,47000
1228,2,12550.0,7282.0,5857.0,2.0,0.5553,1050.0,21.0,42702.0,30150.0,30150.0,0.6829,0.5053,12500.0,0.3551,0.4398,58156.66,7.610000133514401,0.34626436780000003,0.2442528736,0.1810344828,0.1293103448,0.099137931,1.0,0.5790229885,4,12500,0.4568,0.071,0.057999999999999996,48400,55000,57500
1229,2,10939.0,6374.0,4383.0,2.0,0.4052,1039.0,20.0,36070.0,26000.0,26000.0,0.6829,0.5138,12450.0,0.32,0.4618,58015.54,7.80999994277954,0.30666666670000003,0.20266666670000003,0.1866666667,0.12,0.184,0.6,0.0826666667,4,12450,0.0201,0.105,0.085,43100,37400,42200
1230,2,9943.0,5456.0,5171.0,2.0,0.5748,1066.0,21.0,42451.0,28260.0,28260.0,0.4848,0.4228,16462.0,0.3196,0.4021,57538.37,7.53000020980835,0.31642512079999996,0.152173913,0.2077294686,0.1787439614,0.14492753619999998,1.0,0.2463768116,4,16462,0.1224,0.083,0.04,42800,41800,50900
1231,1,6660.0,8911.0,7594.0,1.0,,,,18960.0,8312.0,18560.0,0.5623,0.3687,12500.0,0.1662,0.4147,57541.98,6.650000095367429,0.4303473492,0.15575868369999998,0.14698354660000001,0.155393053,0.1115173675,0.6022,0.3813528336,4,12500,0.2014,0.1,0.109,37200,46200,47700
1233,1,8655.0,7629.0,7873.0,2.0,0.965,1152.0,23.0,20038.0,8270.0,17452.0,0.5541,0.3762,15000.0,0.2165,0.473,60078.99,6.900000095367429,0.3687275986,0.15748207890000002,0.17495519710000002,0.1536738351,0.1451612903,0.9759,0.3322132616,4,15000,0.2823,0.085,0.052000000000000005,41400,46200,49200
1235,2,8647.0,5515.0,4992.0,2.0,0.2778,1054.0,21.0,24564.0,11550.0,11550.0,0.5424,0.5321,8250.0,0.425,0.6306,31403.34,24.510000228881804,0.4216524217,0.113960114,0.1994301994,0.1709401709,0.09401709400000001,0.7778,0.10541310539999998,5,8250,0.0284,0.057,0.057999999999999996,47100,PrivacySuppressed,PrivacySuppressed
1236,2,14491.0,9818.0,6576.0,2.0,0.6676,,,39831.0,30198.0,30198.0,0.708,0.325,19153.0,0.5398,0.654,61842.48,6.90999984741211,0.2863070539,0.1369294606,0.2102351314,0.1811894882,0.18533886579999997,0.5183,0.2849239281,5,19153,0.23600000000000002,0.068,0.059000000000000004,31500,43000,42100
1240,2,17793.0,10917.0,8025.0,2.0,0.8584,1211.0,25.0,54872.0,42200.0,42200.0,0.7697,0.3132,19000.0,0.5337,0.6595,65601.28,6.369999885559079,0.25849212920000003,0.1168185584,0.1507870754,0.1938690969,0.28003314,0.4189,0.12924606460000002,5,19000,0.0539,0.042,0.038,49300,47800,53200
1241,2,2571.0,16327.0,8137.0,2.0,0.382,1192.0,25.0,35394.0,39990.0,39990.0,0.8788,0.9167,4563.0,0.4845,0.6444,47532.74,12.229999542236301,0.5988165679999999,0.20473372780000001,0.1775147929,,,0.8466,0.11124260359999999,5,4563,0.0455,0.067,0.08900000000000001,PrivacySuppressed,37100,PrivacySuppressed
1244,2,11191.0,7209.0,5476.0,2.0,0.3855,1118.0,22.0,32926.0,22100.0,22100.0,0.5106,0.5,19562.0,0.2492,0.3678,50402.08,10.2100000381469,0.42881646659999995,0.1903945111,0.19210977699999998,0.1063464837,0.0823327616,0.4245,0.5574614065,5,19562,0.2723,0.09699999999999999,0.10800000000000001,PrivacySuppressed,PrivacySuppressed,52800
1245,2,11678.0,4619.0,5384.0,2.0,0.8334,1082.0,21.0,38248.0,25400.0,25400.0,0.4876,0.5519,10500.0,0.2646,0.3709,47586.61,11.9499998092651,0.44751381219999997,0.1577655003,0.1749539595,0.1338244322,0.0859422959,0.4371,0.364640884,5,10500,0.1633,0.121,0.10800000000000001,31900,35800,39400
1247,2,18606.0,18235.0,8327.0,2.0,0.7306,1354.0,30.0,53747.0,41700.0,41700.0,0.8265,0.1895,24856.0,0.8,0.8179,64052.84,7.69999980926513,0.18932038829999998,0.0970873786,0.1577669903,0.1650485437,0.390776699,0.9496,,5,24856,0.0007,0.017,0.025,PrivacySuppressed,PrivacySuppressed,57600
1248,2,4878.0,6323.0,4524.0,1.0,,,,17369.0,9440.0,9440.0,0.5,0.6667,,0.2381,0.4528,39097.8,17.2900009155273,0.5,0.3125,,,,0.75,0.671875,5,PrivacySuppressed,0.6377,,0.0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
1251,2,9038.0,3386.0,5193.0,2.0,0.733,1141.0,23.0,35748.0,23000.0,23000.0,0.4091,0.528,9734.0,0.2576,0.3648,44968.88,15.399999618530199,0.4013761468,0.1597859327,0.1788990826,0.1574923547,0.10244648320000001,0.317,0.36850152909999995,5,9734,0.2863,0.065,0.065,35500,37000,42900
1252,1,6856.0,8212.0,7122.0,2.0,0.8729,1147.0,23.0,22396.0,9666.0,19444.0,0.5799,0.4903,15000.0,0.2917,0.4528,47617.36,13.7399997711181,0.4042487685,0.1530172414,0.16810344829999999,0.1510160099,0.123614532,0.5764,0.252770936,5,15000,0.19399999999999998,0.102,0.091,34900,39700,44600
1255,2,10362.0,6353.0,6249.0,2.0,0.4795,1146.0,23.0,49761.0,38650.0,38650.0,0.6154,0.4262,14613.0,0.4847,0.5542,56937.11,9.31999969482422,0.2948490231,0.1403197158,0.1509769094,0.16341030199999998,0.2504440497,0.5247,0.04262877440000001,5,14613,0.0292,0.064,0.043,40100,45800,56700
1264,2,7136.0,2865.0,1027.0,2.0,0.4906,1032.0,20.0,17665.0,9460.0,9460.0,0.3333,0.8,6161.0,0.2364,0.4849,44446.55,15.6700000762939,0.4418604651,,,,,,,5,6161,0.1687,0.057999999999999996,0.073,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
1265,1,7715.0,7629.0,5894.0,2.0,0.7217,937.0,17.0,18975.0,8090.0,19390.0,0.36,0.6884,17479.0,0.0738,0.1944,51636.62,12.359999656677198,0.5147265077000001,0.2019635344,0.1374474053,0.095371669,0.0504908836,0.8274,0.3590462833,5,17479,0.1969,0.14800000000000002,0.218,27800,32300,39000
1266,2,11205.0,5275.0,5235.0,2.0,0.6416,1115.0,23.0,37572.0,26160.0,26160.0,0.5833,0.5104,13500.0,0.2841,0.3652,52095.32,10.050000190734801,0.36084905659999994,0.1320754717,0.1816037736,0.16037735849999998,0.1650943396,0.5517,0.1179245283,5,13500,0.0642,0.141,0.07400000000000001,37500,43000,42600
1267,1,12780.0,12568.0,10688.0,2.0,0.9448,1239.0,26.0,28711.0,12245.0,29099.0,0.7318,0.2633,16250.0,0.4242,0.6564,59287.73,9.0600004196167,0.2830039526,0.12819499339999998,0.1374176548,0.15559947300000002,0.2957839262,0.8551,0.1130434783,5,16250,0.0671,0.059000000000000004,0.061,53700,52600,55300
1268,2,9015.0,4733.0,4789.0,2.0,0.3744,1016.0,19.0,32749.0,19256.0,19256.0,0.5294,0.5123,10625.0,0.2703,0.3303,53919.37,9.949999809265131,0.3692810458,0.1470588235,0.1764705882,0.1666666667,0.1405228758,0.3258,0.1503267974,5,10625,0.0963,0.11599999999999999,0.08900000000000001,38000,35400,36400
1270,2,8559.0,5557.0,5942.0,1.0,,,,37201.0,24850.0,24850.0,0.4536,0.6181,13651.0,0.2248,0.36200000000000004,38952.05,16.3999996185302,0.5408163265,0.1472303207,0.137755102,0.1020408163,0.0721574344,0.5685,0.3112244898,5,13651,0.1702,0.11199999999999999,0.125,28100,32600,37700
1271,1,11960.0,16222.0,8724.0,2.0,0.7243,1227.0,26.0,26140.0,11656.0,27278.0,0.6336,0.3341,13061.0,0.3146,0.555,59042.66,8.75,0.3375113533,0.1556766576,0.1485921889,0.1464123524,0.21180744780000002,0.598,0.20127157129999998,5,13061,0.1558,0.064,0.08199999999999999,48100,47700,50100
1275,2,12130.0,5607.0,6515.0,2.0,0.6059,1081.0,21.0,39350.0,24750.0,24750.0,0.2143,0.3869,14580.0,0.2917,0.4478,50374.83,11.960000038146902,0.4583987441,0.1726844584,0.1601255887,0.1193092622,0.0894819466,0.2437,0.5541601256,5,14580,0.3832,0.1,0.076,30400,38900,44600
1276,1,4985.0,7214.0,6554.0,2.0,0.7926,1150.0,23.0,21512.0,9070.0,13546.0,0.5646,0.5294,16948.0,0.2552,0.4331,42103.85,16.2000007629394,0.43660714289999997,0.1583333333,0.1508928571,0.1386904762,0.1154761905,0.7683,0.2178571429,5,16948,0.1299,0.107,0.1,33000,37200,44800
1277,1,8564.0,8756.0,6957.0,2.0,0.8142,1180.0,24.0,20984.0,9084.0,24540.0,0.6512,0.3641,16238.0,0.2947,0.5238,48948.11,10.090000152587802,0.3485436893,0.15372168279999998,0.17152103559999998,0.1614886731,0.1647249191,0.7882,0.2067961165,5,16238,0.1486,0.085,0.073,38700,42000,46500
1279,1,8855.0,8439.0,7676.0,2.0,0.8926,1148.0,23.0,17711.0,10032.0,19680.0,0.5152,0.3923,14000.0,0.1838,0.4102,63568.77,6.90999984741211,0.34133825939999995,0.1488095238,0.16256157640000002,0.1724137931,0.1748768473,0.9728,0.2391215107,5,14000,0.1761,0.065,0.068,38100,42900,44200
1281,2,20705.0,7421.0,6235.0,1.0,,,,35966.0,20950.0,20950.0,0.4603,0.6523,11629.0,0.1631,0.2972,35782.96,20.3199996948242,0.5654834761,0.1395348837,0.11995104039999999,0.09424724599999999,0.0807833537,0.602,0.19216646269999998,5,11629,0.0718,0.121,0.095,33200,41000,52300
1289,2,8798.0,4892.0,6831.0,2.0,0.6729999999999999,1108.0,22.0,,20433.0,20433.0,0.4937,0.0,,0.3897,0.4872,,,,,,,,1.0,,5,PrivacySuppressed,0.1538,,,,,
1290,2,17049.0,8557.0,7393.0,2.0,0.9595,1065.0,21.0,34596.0,24500.0,24500.0,0.4483,0.5732,17750.0,0.2276,0.4135,55916.29,10.619999885559,0.45030120479999997,0.1460843373,0.140060241,0.1265060241,0.1370481928,0.5024,0.38855421689999997,5,17750,0.2544,0.061,0.081,45600,46600,56300
1292,2,12762.0,5707.0,6610.0,2.0,0.9003,1099.0,22.0,38535.0,31200.0,31200.0,0.5714,0.4642,13175.0,0.3495,0.4671,64733.74,6.46999979019165,0.261822376,0.15455594,0.169550173,0.1926182238,0.2214532872,0.528,0.2560553633,5,13175,0.1441,0.084,0.054000000000000006,49000,54300,64800
1293,2,15271.0,9852.0,7580.0,2.0,0.8881,1275.0,27.0,50080.0,38750.0,38750.0,0.8175,0.2837,19500.0,0.7040000000000001,0.7548,57136.1,9.11999988555908,0.14646464650000002,0.0984848485,0.1641414141,0.21717171719999998,0.3737373737,0.8,,5,19500,0.0021,0.02,0.023,PrivacySuppressed,PrivacySuppressed,51200
1295,2,9585.0,3675.0,4877.0,2.0,0.5634,1056.0,21.0,37499.0,27140.0,27140.0,0.4872,0.6761,12383.0,0.203,0.3008,38949.24,19.1900005340576,0.4276094276,0.164983165,0.1734006734,0.132996633,0.10101010099999999,1.0,0.1885521886,5,12383,0.1325,0.152,0.109,30700,37700,43300
1296,1,8365.0,8898.0,7424.0,2.0,0.9721,1162.0,24.0,20365.0,10512.0,26280.0,0.6189,0.4175,14250.0,0.3012,0.4384,50387.75,10.869999885559,0.3757825622,0.164147198,0.1647579783,0.1446022293,0.1507100321,0.6473,0.2061383417,5,14250,0.13,0.092,0.10099999999999999,33700,40100,42800
1302,2,12393.0,11496.0,7278.0,2.0,0.5969,1173.0,24.0,52978.0,36580.0,36580.0,0.6970000000000001,0.3295,17250.0,0.4749,0.5301,58549.24,11.0100002288818,0.28163265309999996,0.1510204082,0.1306122449,0.1551020408,0.28163265309999996,0.7671,0.061224489800000004,5,17250,0.03,0.094,0.09,PrivacySuppressed,PrivacySuppressed,52800
1309,2,12151.0,10728.0,6355.0,2.0,0.6071,,,31436.0,17918.0,17918.0,0.5263,0.816,19000.0,0.2551,0.4092,51069.58,16.4400005340576,0.5961783439,0.1617834395,0.1324840764,0.0675159236,0.042038216600000004,0.5798,0.11974522289999999,5,19000,0.0907,0.183,0.084,35400,40000,39100
1311,1,5018.0,3988.0,5906.0,2.0,0.9475,944.0,18.0,25927.0,7435.0,16458.0,0.3649,0.8609,25250.0,0.1142,0.3405,44602.47,18.5400009155273,0.6703577513000001,0.1537478705,0.094548552,0.0477001704,0.0336456559,1.0,0.1601362862,5,25250,0.2361,0.179,0.124,30400,34300,38900
1315,1,17102.0,67331.0,8379.0,,,,,,,,,,17728.0,,,54579.64,12.729999542236301,0.4626506024,0.12048192769999999,0.1108433735,0.11325301199999999,0.1927710843,0.7070000000000001,0.4554216867,5,17728,0.3008,0.016,0.009000000000000001,122700,82700,67500
1316,1,5587.0,5658.0,6162.0,2.0,0.5645,1050.0,20.0,14488.0,6668.0,14024.0,0.602,0.8651,9329.0,0.0947,0.281,39416.07,17.8899993896484,0.4600402955,0.1813297515,0.1403626595,0.1222296844,0.0960376091,0.5949,0.3760913365,5,9329,0.2868,0.14,0.08199999999999999,32200,40000,45500
1317,1,12076.0,12626.0,10192.0,2.0,0.7423,1242.0,26.0,28539.0,11950.0,28627.0,0.725,0.2395,13000.0,0.3841,0.6661,57504.74,11.579999923706,0.2940412639,0.1527918049,0.1364882412,0.1361996826,0.2804790074,0.9063,0.09291588519999999,5,13000,0.0496,0.04,0.03,63700,57000,59900
1319,1,7690.0,6575.0,7177.0,2.0,0.8652,1133.0,23.0,17712.0,7327.0,20481.0,0.4483,0.4571,12706.0,0.1462,0.3158,47946.96,14.359999656677198,0.547755102,0.1771428571,0.132244898,0.0742857143,0.0685714286,0.6816,0.4318367347,5,12706,0.2707,0.086,0.069,36900,43000,48600
1323,2,10243.0,6928.0,5501.0,2.0,0.7847,1084.0,21.0,25396.0,17000.0,17000.0,0.41100000000000003,0.495,10250.0,0.2093,0.3597,46322.14,14.399999618530199,0.44559585490000003,0.1537132988,0.1226252159,0.1485319516,0.1295336788,0.5984,0.1744386874,5,10250,0.1216,0.161,0.083,45700,46800,51200
1325,1,7696.0,5436.0,7893.0,2.0,0.6307,1219.0,25.0,20098.0,9645.0,18558.0,0.6063,0.3138,13000.0,0.3344,0.535,46738.12,14.579999923706,0.33355437670000004,0.175066313,0.15517241380000002,0.1475464191,0.1886604775,0.813,0.1057692308,5,13000,0.0516,0.065,0.05,45100,48700,54200
1326,2,15191.0,12548.0,8583.0,2.0,0.9431,1192.0,25.0,52842.0,39942.0,39942.0,0.6572,0.3458,19500.0,0.4913,0.5864,67759.61,9.22000026702881,0.2773109244,0.12231559289999999,0.1577964519,0.1409897292,0.3015873016,0.6304,0.0625583567,5,19500,0.05,0.065,0.037000000000000005,53100,50500,52900
1327,1,6333.0,4553.0,6609.0,2.0,0.7032,1127.0,23.0,18978.0,7860.0,15898.0,0.5246,0.3308,12153.0,0.3161,0.4377,47295.56,14.479999542236301,0.4283842795,0.17991266379999998,0.1331877729,0.1148471616,0.1436681223,1.0,0.2152838428,5,12153,0.1499,0.136,0.1,39800,48600,49100
